iter	Passed	Remaining
799	1496	374
800	1498	372
801	1499	370
802	1500	368
803	1501	366
804	1502	363
805	1503	361
806	1504	359
807	1505	357
808	1507	355
809	1508	353
810	1509	351
811	1510	349
812	1511	347
813	1512	345
814	1513	343
815	1514	341
816	1515	339
817	1516	337
818	1517	335
819	1518	333
820	1519	331
821	1521	329
822	1522	327
823	1523	325
824	1524	323
825	1525	321
826	1526	319
827	1528	317
828	1530	315
829	1531	313
830	1533	311
831	1534	309
832	1535	307
833	1537	306
834	1538	304
835	1539	302
836	1540	300
837	1541	298
838	1543	296
839	1544	294
840	1545	292
841	1546	290
842	1547	288
843	1548	286
844	1549	284
845	1550	282
846	1551	280
847	1553	278
848	1554	276
849	1555	274
850	1556	272
851	1557	270
852	1558	268
853	1559	266
854	1560	264
855	1561	262
856	1563	260
857	1564	258
858	1565	256
859	1566	255
860	1567	253
861	1569	251
862	1570	249
863	1572	247
864	1573	245
865	1574	243
866	1575	241
867	1576	239
868	1577	237
869	1578	235
870	1579	233
871	1581	232
872	1582	230
873	1583	228
874	1585	226
875	1586	224
876	1587	222
877	1588	220
878	1589	218
879	1590	216
880	1591	214
881	1592	213
882	1593	211
883	1594	209
884	1595	207
885	1597	205
886	1598	203
887	1599	201
888	1600	199
889	1601	197
890	1603	196
891	1604	194
892	1605	192
893	1606	190
894	1607	188
895	1608	186
896	1609	184
897	1610	182
898	1612	181
899	1613	179
900	1614	177
901	1615	175
902	1616	173
903	1617	171
904	1618	169
905	1619	168
906	1620	166
907	1621	164
908	1623	162
909	1624	160
910	1625	158
911	1626	156
912	1627	155
913	1629	153
914	1630	151
915	1631	149
916	1632	147
917	1633	145
918	1634	144
919	1635	142
920	1636	140
921	1637	138
922	1638	136
923	1639	134
924	1640	133
925	1642	131
926	1643	129
927	1644	127
928	1645	125
929	1646	123
930	1647	122
931	1649	120
932	1650	118
933	1651	116
934	1651	114
935	1652	113
936	1653	111
937	1654	109
938	1656	107
939	1657	105
940	1659	104
941	1661	102
942	1662	100
943	1663	98
944	1665	96
945	1666	95
946	1667	93
947	1668	91
948	1669	89
949	1670	87
950	1672	86
951	1673	84
952	1674	82
953	1675	80
954	1676	78
955	1677	77
956	1678	75
957	1679	73
958	1680	71
959	1681	70
960	1682	68
961	1684	66
962	1685	64
963	1686	62
964	1687	61
965	1688	59
966	1690	57
967	1691	55
968	1692	54
969	1693	52
970	1694	50
971	1695	48
972	1696	47
973	1697	45
974	1698	43
975	1699	41
976	1701	40
977	1702	38
978	1703	36
979	1704	34
980	1705	33
981	1706	31
982	1707	29
983	1708	27
984	1709	26
985	1710	24
986	1712	22
987	1713	20
988	1714	19
989	1716	17
990	1717	15
991	1718	13
992	1719	12
993	1720	10
994	1721	8
995	1722	6
996	1723	5
997	1724	3
998	1726	1
999	1727	0
